JobIDRaw|JobName|State|Elapsed|Timelimit|ReqMem|MaxRSS|AllocCPUS|TotalCPU|ExitCode
39698698|Xen_res1.5_ABT|FAILED|00:00:30|12:00:00|64Gn||8|00:28.827|1:0
39698698.batch|batch|FAILED|00:00:30||64Gn|3564K|8|00:28.825|1:0
39698698.extern|extern|COMPLETED|00:00:30||64Gn|2900K|8|00:00.001|0:0
39698699|Xen_res1.5_ABT|FAILED|00:00:30|12:00:00|64Gn||8|00:29.169|1:0
39698699.batch|batch|FAILED|00:00:30||64Gn|3668K|8|00:29.167|1:0
39698699.extern|extern|COMPLETED|00:00:31||64Gn|2856K|8|00:00.001|0:0
39699055|Xen_res1.5_ABT|COMPLETED|00:08:32|12:00:00|64Gn||8|10:30.883|0:0
39699055.batch|batch|COMPLETED|00:08:32||64Gn|8308708K|8|10:30.882|0:0
39699055.extern|extern|COMPLETED|00:08:32||64Gn|2864K|8|00:00.001|0:0
39699056|Xen_res1.5_ABT|COMPLETED|00:10:15|12:00:00|64Gn||8|11:49.950|0:0
39699056.batch|batch|COMPLETED|00:10:15||64Gn|11878768K|8|11:49.949|0:0
39699056.extern|extern|COMPLETED|00:10:15||64Gn|2864K|8|00:00:00|0:0
39699057|Xen_res1.5_ABT|COMPLETED|00:15:06|12:00:00|64Gn||8|17:41.605|0:0
39699057.batch|batch|COMPLETED|00:15:06||64Gn|17151312K|8|17:41.604|0:0
39699057.extern|extern|COMPLETED|00:15:06||64Gn|2864K|8|00:00:00|0:0
39699058|Xen_res1.5_ABT|CANCELLED by 13047|00:18:22|12:00:00|64Gn||8|14:45.508|0:0
39699058.batch|batch|CANCELLED|00:18:23||64Gn|20309468K|8|14:45.508|0:15
39699058.extern|extern|COMPLETED|00:18:22||64Gn|2864K|8|00:00:00|0:0
39699148|Xen_res1.5_ABT|COMPLETED|00:06:39|12:00:00|64Gn||8|07:38.137|0:0
39699148.batch|batch|COMPLETED|00:06:39||64Gn|7295476K|8|07:38.135|0:0
39699148.extern|extern|COMPLETED|00:06:39||64Gn|2864K|8|00:00.001|0:0
39699159|Xen_res1.5_ABT|COMPLETED|00:07:17|12:00:00|64Gn||8|08:05.922|0:0
39699159.batch|batch|COMPLETED|00:07:17||64Gn|10662640K|8|08:05.921|0:0
39699159.extern|extern|COMPLETED|00:07:17||64Gn|2864K|8|00:00:00|0:0
39699213|Xen_res1.5_ABT|CANCELLED by 13047|00:03:16|12:00:00|64Gn||8|03:43.648|0:0
39699213.batch|batch|CANCELLED|00:03:17||64Gn|9173368K|8|03:43.647|0:15
39699213.extern|extern|COMPLETED|00:03:16||64Gn|2864K|8|00:00:00|0:0
39699214|Xen_res1.5_ABT|CANCELLED by 13047|00:03:11|12:00:00|64Gn||8|04:19.916|0:0
39699214.batch|batch|CANCELLED|00:03:12||64Gn|12401500K|8|04:19.915|0:15
39699214.extern|extern|COMPLETED|00:03:11||64Gn|2864K|8|00:00.001|0:0
39699241|Xen_res1.5_ABT|CANCELLED by 13047|00:00:49|12:00:00|64Gn||8|00:20.589|0:0
39699241.batch|batch|CANCELLED|00:00:50||64Gn|2613932K|8|00:20.588|0:15
39699241.extern|extern|COMPLETED|00:00:49||64Gn|2864K|8|00:00:00|0:0
39699306|Xen_res1.5_ABT|COMPLETED|00:17:30|12:00:00|64Gn||8|20:00.658|0:0
39699306.batch|batch|COMPLETED|00:17:30||64Gn|24031596K|8|20:00.657|0:0
39699306.extern|extern|COMPLETED|00:17:30||64Gn|2864K|8|00:00:00|0:0
39699309|Xen_res1.5_ABT|COMPLETED|00:08:49|12:00:00|64Gn||8|11:17.954|0:0
39699309.batch|batch|COMPLETED|00:08:49||64Gn|9830708K|8|11:17.953|0:0
39699309.extern|extern|COMPLETED|00:08:49||64Gn|2864K|8|00:00:00|0:0
39699310|Xen_res1.5_ABT|FAILED|00:00:28|12:00:00|64Gn||8|00:08.922|4:0
39699310.batch|batch|FAILED|00:00:28||64Gn|4124K|8|00:08.921|4:0
39699310.extern|extern|COMPLETED|00:00:28||64Gn|3456K|8|00:00.001|0:0
39699311|Xen_res1.5_ABT|COMPLETED|00:15:57|12:00:00|64Gn||8|18:41.645|0:0
39699311.batch|batch|COMPLETED|00:15:57||64Gn|20211532K|8|18:41.644|0:0
39699311.extern|extern|COMPLETED|00:15:58||64Gn|2864K|8|00:00:00|0:0
39699312|Xen_res1.5_ABT|COMPLETED|00:18:14|12:00:00|64Gn||8|19:35.968|0:0
39699312.batch|batch|COMPLETED|00:18:14||64Gn|18008052K|8|19:35.967|0:0
39699312.extern|extern|COMPLETED|00:18:14||64Gn|2864K|8|00:00:00|0:0
39699320|Xen_res1.5_ABT|FAILED|00:00:25|12:00:00|64Gn||8|00:08.863|4:0
39699320.batch|batch|FAILED|00:00:25||64Gn|4128K|8|00:08.862|4:0
39699320.extern|extern|COMPLETED|00:00:25||64Gn|3456K|8|00:00.001|0:0
39699338|Xen_res1.5_ABT|COMPLETED|00:07:54|12:00:00|64Gn||8|08:11.630|0:0
39699338.batch|batch|COMPLETED|00:07:54||64Gn|10320476K|8|08:11.629|0:0
39699338.extern|extern|COMPLETED|00:07:55||64Gn|2864K|8|00:00:00|0:0
39699447|Xen_res1.5_ABT|COMPLETED|00:12:21|12:00:00|64Gn||8|12:34.970|0:0
39699447.batch|batch|COMPLETED|00:12:21||64Gn|12823588K|8|12:34.969|0:0
39699447.extern|extern|COMPLETED|00:12:21||64Gn|2864K|8|00:00.001|0:0
39699448|Xen_res1.5_ABT|FAILED|00:00:15|12:00:00|64Gn||8|00:09.457|4:0
39699448.batch|batch|FAILED|00:00:15||64Gn|4128K|8|00:09.455|4:0
39699448.extern|extern|COMPLETED|00:00:15||64Gn|3456K|8|00:00.001|0:0
39699451|Xen_res1.5_ABT|COMPLETED|00:13:22|12:00:00|64Gn||8|13:54.441|0:0
39699451.batch|batch|COMPLETED|00:13:22||64Gn|16293032K|8|13:54.440|0:0
39699451.extern|extern|COMPLETED|00:13:22||64Gn|2864K|8|00:00:00|0:0
39699561|Xen_res1.5_ABT|COMPLETED|00:13:00|12:00:00|64Gn||8|13:53.336|0:0
39699561.batch|batch|COMPLETED|00:13:00||64Gn|13812012K|8|13:53.335|0:0
39699561.extern|extern|COMPLETED|00:13:00||64Gn|2864K|8|00:00.001|0:0
39699576|Xen_res1.5_ABT|COMPLETED|00:13:33|12:00:00|64Gn||8|14:04.936|0:0
39699576.batch|batch|COMPLETED|00:13:33||64Gn|13866928K|8|14:04.935|0:0
39699576.extern|extern|COMPLETED|00:13:33||64Gn|2864K|8|00:00:00|0:0
39699591|Xen_res1.5_ABT|COMPLETED|00:14:37|12:00:00|64Gn||8|15:58.622|0:0
39699591.batch|batch|COMPLETED|00:14:37||64Gn|11823964K|8|15:58.617|0:0
39699591.extern|extern|COMPLETED|00:14:37||64Gn|2892K|8|00:00.005|0:0
39699595|Xen_res1.5_ABT|COMPLETED|00:10:46|12:00:00|64Gn||8|12:03.360|0:0
39699595.batch|batch|COMPLETED|00:10:46||64Gn|13217356K|8|12:03.359|0:0
39699595.extern|extern|COMPLETED|00:10:46||64Gn|2864K|8|00:00:00|0:0
39699636|Xen_res1.5_ABT|COMPLETED|00:12:42|12:00:00|64Gn||8|14:09.750|0:0
39699636.batch|batch|COMPLETED|00:12:42||64Gn|14849216K|8|14:09.749|0:0
39699636.extern|extern|COMPLETED|00:12:42||64Gn|2864K|8|00:00.001|0:0
39699652|Xen_res1.5_ABT|COMPLETED|00:16:11|12:00:00|64Gn||8|17:22.668|0:0
39699652.batch|batch|COMPLETED|00:16:11||64Gn|21440972K|8|17:22.668|0:0
39699652.extern|extern|COMPLETED|00:16:11||64Gn|2864K|8|00:00:00|0:0
39699914|Xen_res1.5_ABT|FAILED|00:00:15|12:00:00|64Gn||8|00:13.648|1:0
39699914.batch|batch|FAILED|00:00:15||64Gn|3532K|8|00:13.647|1:0
39699914.extern|extern|COMPLETED|00:00:15||64Gn|2864K|8|00:00:00|0:0
39699916|Xen_res1.5_ABT|FAILED|00:00:36|12:00:00|64Gn||8|00:13.827|1:0
39699916.batch|batch|FAILED|00:00:36||64Gn|363112K|8|00:13.826|1:0
39699916.extern|extern|COMPLETED|00:00:36||64Gn|2864K|8|00:00:00|0:0
39699917|Xen_res1.5_ABT|FAILED|00:00:36|12:00:00|64Gn||8|00:13.931|1:0
39699917.batch|batch|FAILED|00:00:36||64Gn|362596K|8|00:13.930|1:0
39699917.extern|extern|COMPLETED|00:00:36||64Gn|2864K|8|00:00.001|0:0
39699918|Xen_res1.5_ABT|FAILED|00:00:13|12:00:00|64Gn||8|00:09.073|4:0
39699918.batch|batch|FAILED|00:00:13||64Gn|4128K|8|00:09.071|4:0
39699918.extern|extern|COMPLETED|00:00:13||64Gn|3456K|8|00:00.001|0:0
39699923|Xen_res1.5_ABT|FAILED|00:00:09|12:00:00|64Gn||8|00:08.859|4:0
39699923.batch|batch|FAILED|00:00:09||64Gn|4128K|8|00:08.859|4:0
39699923.extern|extern|COMPLETED|00:00:09||64Gn|3456K|8|00:00:00|0:0
39699926|Xen_res1.5_ABT|FAILED|00:00:31|12:00:00|64Gn||8|00:13.534|1:0
39699926.batch|batch|FAILED|00:00:31||64Gn|545256K|8|00:13.533|1:0
39699926.extern|extern|COMPLETED|00:00:31||64Gn|2864K|8|00:00:00|0:0
39699927|Xen_res1.5_ABT|FAILED|00:00:31|12:00:00|64Gn||8|00:13.552|1:0
39699927.batch|batch|FAILED|00:00:31||64Gn|542476K|8|00:13.551|1:0
39699927.extern|extern|COMPLETED|00:00:31||64Gn|2864K|8|00:00.001|0:0
39699928|Xen_res1.5_ABT|FAILED|00:00:10|12:00:00|64Gn||8|00:08.824|4:0
39699928.batch|batch|FAILED|00:00:10||64Gn|4128K|8|00:08.823|4:0
39699928.extern|extern|COMPLETED|00:00:10||64Gn|3456K|8|00:00:00|0:0
39699930|Xen_res1.5_ABT|FAILED|00:00:10|12:00:00|64Gn||8|00:08.818|4:0
39699930.batch|batch|FAILED|00:00:10||64Gn|4124K|8|00:08.817|4:0
39699930.extern|extern|COMPLETED|00:00:10||64Gn|3456K|8|00:00:00|0:0
39699934|Xen_res1.5_ABT|FAILED|00:00:17|12:00:00|64Gn||8|00:13.641|1:0
39699934.batch|batch|FAILED|00:00:17||64Gn|3532K|8|00:13.640|1:0
39699934.extern|extern|COMPLETED|00:00:17||64Gn|2864K|8|00:00:00|0:0
39699935|Xen_res1.5_ABT|FAILED|00:00:17|12:00:00|64Gn||8|00:13.625|1:0
39699935.batch|batch|FAILED|00:00:17||64Gn|3532K|8|00:13.624|1:0
39699935.extern|extern|COMPLETED|00:00:17||64Gn|2864K|8|00:00.001|0:0
39699936|Xen_res1.5_ABT|FAILED|00:00:10|12:00:00|64Gn||8|00:08.858|4:0
39699936.batch|batch|FAILED|00:00:10||64Gn|4128K|8|00:08.858|4:0
39699936.extern|extern|COMPLETED|00:00:10||64Gn|3456K|8|00:00:00|0:0
39699939|Xen_res1.5_ABT|FAILED|00:00:15|12:00:00|64Gn||8|00:13.534|1:0
39699939.batch|batch|FAILED|00:00:15||64Gn|3532K|8|00:13.533|1:0
39699939.extern|extern|COMPLETED|00:00:15||64Gn|2864K|8|00:00:00|0:0
39699940|Xen_res1.5_ABT|FAILED|00:00:15|12:00:00|64Gn||8|00:13.969|1:0
39699940.batch|batch|FAILED|00:00:15||64Gn|3532K|8|00:13.968|1:0
39699940.extern|extern|COMPLETED|00:00:15||64Gn|2864K|8|00:00.001|0:0
39699941|Xen_res1.5_ABT|FAILED|00:00:09|12:00:00|64Gn||8|00:08.828|4:0
39699941.batch|batch|FAILED|00:00:09||64Gn|4128K|8|00:08.827|4:0
39699941.extern|extern|COMPLETED|00:00:10||64Gn|3456K|8|00:00.001|0:0
